,release_year,Adult,Kids,Older Kids,Teens,Movie,TV Show,show_duration,movie_duration
456,2017,1,0,0,0,1,0,0,111
457,2015,1,0,0,0,1,0,0,102
458,2020,0,1,0,0,1,0,0,15
459,2020,0,0,0,1,1,0,0,120
460,2001,1,0,0,0,1,0,0,106
461,2021,1,0,0,0,1,0,0,116
462,2021,1,0,0,0,1,0,0,116
463,2015,0,0,0,1,1,0,0,86
464,2021,1,0,0,0,1,0,0,97
465,2016,1,0,0,0,1,0,0,132
466,1992,1,0,0,0,1,0,0,126
467,2011,1,0,0,0,1,0,0,101
468,2010,1,0,0,0,1,0,0,102
469,2008,0,0,0,1,1,0,0,147
470,2001,0,0,1,0,1,0,0,224
471,2004,0,0,0,1,1,0,0,141
472,2010,1,0,0,0,1,0,0,109
473,2007,0,0,1,0,1,0,0,162
474,2021,1,0,0,0,1,0,0,142
475,2021,0,0,1,0,1,0,0,93
476,2021,0,1,0,0,1,0,0,60
477,2015,1,0,0,0,1,0,0,119
478,2013,1,0,0,0,1,0,0,96
479,2020,1,0,0,0,1,0,0,116
480,2020,0,0,0,1,1,0,0,102
481,2013,1,0,0,0,1,0,0,123
482,2020,1,0,0,0,1,0,0,102
483,2017,0,0,0,1,1,0,0,127
484,2017,0,0,0,1,1,0,0,88
485,2021,0,0,0,1,1,0,0,106
486,2020,1,0,0,0,1,0,0,65
487,2016,1,0,0,0,1,0,0,96
488,2019,0,0,1,0,0,1,1,0
489,2019,0,0,0,1,1,0,0,88
490,2021,1,0,0,0,1,0,0,143
491,2012,1,0,0,0,1,0,0,137
492,2014,1,0,0,0,1,0,0,75
493,1981,1,0,0,0,1,0,0,103
494,2021,1,0,0,0,1,0,0,130
495,2020,1,0,0,0,0,1,1,0
496,2020,0,0,0,1,1,0,0,145
497,2021,0,0,0,1,1,0,0,118
498,2020,1,0,0,0,1,0,0,102
499,2021,1,0,0,0,1,0,0,132
500,2016,1,0,0,0,1,0,0,108
501,2021,0,0,0,1,1,0,0,133
502,2021,0,0,0,1,1,0,0,107
503,2021,1,0,0,0,1,0,0,32
504,2020,0,0,1,0,1,0,0,78
505,2021,0,0,0,1,1,0,0,140
506,2020,1,0,0,0,1,0,0,143
507,2020,1,0,0,0,1,0,0,88
508,2013,0,0,1,0,1,0,0,89
509,2006,0,0,0,1,1,0,0,93
510,2018,1,0,0,0,1,0,0,97
511,2012,0,1,0,0,1,0,0,94
512,2021,1,0,0,0,1,0,0,112
513,2019,1,0,0,0,1,0,0,100
514,2018,1,0,0,0,1,0,0,120
515,2021,1,0,0,0,1,0,0,91
516,2021,1,0,0,0,1,0,0,98
517,2021,1,0,0,0,1,0,0,113
518,2008,0,0,0,1,1,0,0,98
519,2017,0,0,1,0,1,0,0,91
520,2009,0,0,0,1,1,0,0,158
521,2009,0,0,0,1,1,0,0,164
522,2012,0,0,1,0,1,0,0,133
523,2010,0,0,0,1,1,0,0,103
524,2015,1,0,0,0,1,0,0,90
525,2016,0,0,0,1,1,0,0,116
526,2001,0,0,0,1,1,0,0,96
527,2020,0,0,0,1,1,0,0,121
528,1996,1,0,0,0,1,0,0,101
529,1964,0,1,0,0,1,0,0,173
530,2017,1,0,0,0,1,0,0,89
531,2017,0,0,0,1,1,0,0,181
532,2016,1,0,0,0,1,0,0,99
533,2017,1,0,0,0,1,0,0,88
534,2010,0,0,0,1,1,0,0,107
535,2021,0,0,0,1,1,0,0,114
536,2019,0,0,1,0,1,0,0,96
537,2002,1,0,0,0,1,0,0,149
538,2009,0,0,0,1,1,0,0,102
539,1999,1,0,0,0,1,0,0,83
540,2016,0,0,0,1,1,0,0,98
541,2017,1,0,0,0,1,0,0,83
542,2008,0,0,0,1,1,0,0,104
543,2018,0,0,0,1,1,0,0,111
544,2020,1,0,0,0,1,0,0,98
545,2021,0,0,1,0,1,0,0,93
546,2021,0,1,0,0,1,0,0,73
547,2013,0,0,0,1,1,0,0,141
548,2012,1,0,0,0,1,0,0,116
549,2021,0,0,1,0,1,0,0,98
550,1998,1,0,0,0,1,0,0,95
551,2020,0,0,0,1,1,0,0,93
552,2020,1,0,0,0,1,0,0,97
553,2021,0,0,1,0,1,0,0,114
554,2021,0,0,0,1,1,0,0,100
555,2021,0,0,1,0,1,0,0,105
556,2021,1,0,0,0,1,0,0,60
557,2021,0,0,0,1,0,1,6,0
558,2013,0,0,0,1,1,0,0,98
559,2020,1,0,0,0,1,0,0,108
560,2020,1,0,0,0,1,0,0,90
561,2020,1,0,0,0,1,0,0,102
562,2021,0,0,0,1,1,0,0,120
563,2020,1,0,0,0,1,0,0,106
564,2021,1,0,0,0,1,0,0,115
565,2021,0,0,0,1,1,0,0,98
566,2021,0,1,0,0,1,0,0,60
567,2020,1,0,0,0,1,0,0,113
568,2014,0,0,0,1,1,0,0,101
569,2020,1,0,0,0,1,0,0,24
570,2017,0,0,0,1,1,0,0,80
571,2021,1,0,0,0,1,0,0,100
572,2014,0,0,0,1,1,0,0,139
573,2021,1,0,0,0,1,0,0,74
574,2012,1,0,0,0,1,0,0,131
575,2021,0,0,0,1,1,0,0,131
576,2016,0,0,1,0,1,0,0,118
577,2015,1,0,0,0,1,0,0,97
578,2020,0,1,0,0,1,0,0,92
579,2015,0,0,0,1,1,0,0,136
580,2021,1,0,0,0,1,0,0,97
581,2010,1,0,0,0,1,0,0,110
582,2013,1,0,0,0,1,0,0,105
583,2021,0,0,1,0,1,0,0,90
584,2016,0,0,1,0,1,0,0,107
